Date : 2025-07-04 15:22:10
Directory : /home/tbn/pessoa
Total : 246 files,  33917 codes, 2746 comments, 3949 blanks, all 40612 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend/src/handlers                                                                                             |          2 |        282 |        123 |         45 |        450 |
| backend/src/models                                                                                               |          9 |        145 |         73 |         13 |        231 |
| backend/src/tests                                                                                                |          6 |        499 |         40 |         38 |        577 |
| backend/tests                                                                                                    |          8 |        476 |         56 |         55 |        587 |
| backend/tests (Files)                                                                                            |          7 |        437 |         56 |         51 |        544 |
| backend/tests/mocks                                                                                              |          1 |         39 |          0 |          4 |         43 |
| doc                                                                                                              |         18 |      2,378 |          0 |        605 |      2,983 |
| doc-improvements                                                                                                 |          1 |         55 |          0 |         18 |         73 |
| frontend                                                                                                         |         91 |     21,757 |      1,524 |      1,913 |     25,194 |
| frontend (Files)                                                                                                 |         17 |     10,622 |         66 |         78 |     10,766 |
| frontend/migrations                                                                                              |          1 |          0 |          1 |          1 |          2 |
| frontend/public                                                                                                  |          2 |        435 |          5 |         83 |        523 |
| frontend/src                                                                                                     |         71 |     10,700 |      1,452 |      1,751 |     13,903 |
| frontend/src (Files)                                                                                             |         10 |      1,482 |        457 |        247 |      2,186 |
| frontend/src/assets                                                                                              |          1 |          1 |          0 |          0 |          1 |
| frontend/src/components                                                                                          |         49 |      8,366 |        892 |      1,358 |     10,616 |
| frontend/src/components (Files)                                                                                  |         13 |      2,158 |        132 |        299 |      2,589 |
| frontend/src/components/editor                                                                                   |         36 |      6,208 |        760 |      1,059 |      8,027 |
| frontend/src/components/editor (Files)                                                                           |          6 |        983 |         80 |        145 |      1,208 |
| frontend/src/components/editor/ViewModes                                                                         |          3 |        507 |         49 |         65 |        621 |
| frontend/src/components/editor/components                                                                        |          8 |      1,745 |        122 |        248 |      2,115 |
| frontend/src/components/editor/components (Files)                                                                |          3 |      1,134 |         55 |        169 |      1,358 |
| frontend/src/components/editor/components/page                                                                   |          1 |         19 |          5 |          4 |         28 |
| frontend/src/components/editor/components/toolbar                                                                |          1 |        477 |         50 |         63 |        590 |
| frontend/src/components/editor/components/ui                                                                     |          3 |        115 |         12 |         12 |        139 |
| frontend/src/components/editor/config                                                                            |          2 |        146 |         37 |         32 |        215 |
| frontend/src/components/editor/extensions                                                                        |          4 |        124 |         14 |         21 |        159 |
| frontend/src/components/editor/hooks                                                                             |          7 |      1,362 |        214 |        224 |      1,800 |
| frontend/src/components/editor/styles                                                                            |          3 |        832 |        164 |        224 |      1,220 |
| frontend/src/components/editor/types                                                                             |          1 |        312 |         31 |         69 |        412 |
| frontend/src/components/editor/utils                                                                             |          2 |        197 |         49 |         31 |        277 |
| frontend/src/test                                                                                                |          7 |        258 |         12 |         38 |        308 |
| frontend/src/test (Files)                                                                                        |          4 |        158 |         11 |         24 |        193 |
| frontend/src/test/mocks                                                                                          |          3 |        100 |          1 |         14 |        115 |
| frontend/src/utils                                                                                               |          4 |        593 |         91 |        108 |        792 |
| gemini_test                                                                                                      |          3 |         76 |          0 |         16 |         92 |
| gemini_test (Files)                                                                                              |          2 |         76 |          0 |         14 |         90 |
| gemini_test/src                                                                                                  |          1 |          0 |          0 |          2 |          2 |
| prompt                                                                                                           |          4 |        154 |          0 |         32 |        186 |
| scripts                                                                                                          |          1 |        123 |          0 |         57 |        180 |
| src                                                                                                              |          1 |        140 |         12 |         29 |        181 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/tbn/pessoa/.github/workflows/deploy.yml                                                                    | YAML               |          0 |         20 |          1 |         21 |
| /home/tbn/pessoa/CHROME_WEBSOCKET_FIX.md                                                                         | Markdown           |        160 |          0 |         62 |        222 |
| /home/tbn/pessoa/DEPLOYMENT_GUIDE.md                                                                             | Markdown           |        202 |          0 |         68 |        270 |
| /home/tbn/pessoa/ENVIRONMENT_GUIDE.md                                                                            | Markdown           |        143 |          0 |         45 |        188 |
| /home/tbn/pessoa/GITHUB_ACTIONS_SOLUTION_SUMMARY.md                                                              | Markdown           |        152 |          0 |         36 |        188 |
| /home/tbn/pessoa/HTTPS-SETUP.md                                                                                  | Markdown           |        133 |          0 |         54 |        187 |
| /home/tbn/pessoa/MIGRATION_FROM_CURRENT_HETZNER.md                                                               | Markdown           |        220 |          0 |         65 |        285 |
| /home/tbn/pessoa/README.md                                                                                       | Markdown           |        574 |          0 |        176 |        750 |
| /home/tbn/pessoa/STAGING_GUIDE.md                                                                                | Markdown           |        116 |          0 |         47 |        163 |
| /home/tbn/pessoa/backend/.dockerignore                                                                           | Ignore             |          3 |          2 |          0 |          5 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-024585112b4ffa9899e0df67c926f2170d10cb1e3290b4ae6be530817aba0a10.json | JSON               |         18 |          0 |          1 |         19 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-15a11a2eed227ed918e5c6d17654c9c0ca153a7006214e5b5650b986113aa533.json | JSON               |         44 |          0 |          1 |         45 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-3ad5e76a5e4805ebd8598b9d9cbe94590987abc443a952747c1828686d388527.json | JSON               |         55 |          0 |          1 |         56 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-3c8e6ddf7e7c7edcdf3daa45ca7a53e2a7109448efb47fe9e92d95a074eff1ae.json | JSON               |         47 |          0 |          1 |         48 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-3d1b069f671c32bfb7f55e91922be8469063e2d26fab97568d1241006da17f06.json | JSON               |         14 |          0 |          1 |         15 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-5f121bd824a2de3f256051566157a7e595746d511d3f78c4ebf00d1970d99d7b.json | JSON               |         23 |          0 |          1 |         24 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-606364c79e0990deb07dfbe6c32b3d302d083ec5333f3a5ce04113c38a041100.json | JSON               |         52 |          0 |          1 |         53 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-6a89f28f7d66eecea7cf2c3992f1dbaef784a2263161f86a74cb51a60a942aee.json | JSON               |         46 |          0 |          1 |         47 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-72486920161fe03541a29e67953ea0349489057e4bc887746dd0582c85fc6f27.json | JSON               |         58 |          0 |          1 |         59 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-736799aae1d3a2c182eff67a4b9ff6bdd8fcb669fa8b298ea5ee3daeea0f4b3f.json | JSON               |         15 |          0 |          1 |         16 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-7e2dca3e9ad54924a25a20e6777369b90edc564bbc711dc3e6f2115dd9e3f428.json | JSON               |         19 |          0 |          1 |         20 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-8cf1c9b1ad8da158dc91876d1a3d3380fda3174827c6b5ae4ddd660d4d3c98cc.json | JSON               |         49 |          0 |          1 |         50 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-a464e88495b538255db9c30adbeb51ae416b0dbd1edefd8852258d8708b6bebc.json | JSON               |         15 |          0 |          1 |         16 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-acad2219423d25e6719145f5dc1b008418cd21afd7252448a5c3078b7b704365.json | JSON               |         46 |          0 |          1 |         47 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-af56253c829c5e43f0c2ecd9de035665bdb2224889dd14fc16df56798572d81f.json | JSON               |         52 |          0 |          1 |         53 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-bc741ef166e44c3210d0e1a6c5ddac67aefadc288bcb7ef45392d729a3060947.json | JSON               |         22 |          0 |          1 |         23 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-c46de91d7970b922373a9d8d24b8354ec87949fc8be9461ce40cc41a23046d1a.json | JSON               |         47 |          0 |          1 |         48 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-dc9246b9c339bd384630b6376c625ed0347c4d8c9d37af615276a5ac8331e51e.json | JSON               |         50 |          0 |          1 |         51 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-e5351f3db9d0894f44e978b475b0c06c56ce05ae6fe1e94cf6d940938d8d5edd.json | JSON               |         41 |          0 |          1 |         42 |
| /home/tbn/pessoa/backend/.sqlx/.sqlx/query-fc06402a72d3506fff73f75fdd3405c2c905e8cc9b87ff4f9b97174019f8e685.json | JSON               |         46 |          0 |          1 |         47 |
| /home/tbn/pessoa/backend/.sqlx/query-024585112b4ffa9899e0df67c926f2170d10cb1e3290b4ae6be530817aba0a10.json       | JSON               |         18 |          0 |          1 |         19 |
| /home/tbn/pessoa/backend/.sqlx/query-036c876059b8141f1bdcf43b3eeb5f6ad7ba8d081896170d5310406de7092a44.json       | JSON               |         53 |          0 |          1 |         54 |
| /home/tbn/pessoa/backend/.sqlx/query-120148520ef4b2eb9bb0a57da6ce0b465b6c4e21d9310b8f45932559f3474819.json       | JSON               |         74 |          0 |          1 |         75 |
| /home/tbn/pessoa/backend/.sqlx/query-312aac2ddea2a3940f8462e822404cef3ac210a7e576e1d5b0c44b2e2030c3ee.json       | JSON               |         52 |          0 |          1 |         53 |
| /home/tbn/pessoa/backend/.sqlx/query-3ad5e76a5e4805ebd8598b9d9cbe94590987abc443a952747c1828686d388527.json       | JSON               |         55 |          0 |          1 |         56 |
| /home/tbn/pessoa/backend/.sqlx/query-3d1b069f671c32bfb7f55e91922be8469063e2d26fab97568d1241006da17f06.json       | JSON               |         14 |          0 |          1 |         15 |
| /home/tbn/pessoa/backend/.sqlx/query-50c8b6454ae5ca533c56d8b43b4f42ff26ae213885dc3cc6790addaed9d37bd8.json       | JSON               |         70 |          0 |          1 |         71 |
| /home/tbn/pessoa/backend/.sqlx/query-5b7f503a1e52f23ffbe676db4556c226c418861abd70fb64faae7928e0c9c2b3.json       | JSON               |         50 |          0 |          1 |         51 |
| /home/tbn/pessoa/backend/.sqlx/query-5c59fe100d71df56fe6be06cb933dc02c715aafd80f4a7b91e1b51e77ac48ed2.json       | JSON               |         22 |          0 |          1 |         23 |
| /home/tbn/pessoa/backend/.sqlx/query-5f121bd824a2de3f256051566157a7e595746d511d3f78c4ebf00d1970d99d7b.json       | JSON               |         23 |          0 |          1 |         24 |
| /home/tbn/pessoa/backend/.sqlx/query-606364c79e0990deb07dfbe6c32b3d302d083ec5333f3a5ce04113c38a041100.json       | JSON               |         52 |          0 |          1 |         53 |
| /home/tbn/pessoa/backend/.sqlx/query-613172b9ce2bf6ad59b2104ff8ad9684d6e85285d8ca27111efe416d71035785.json       | JSON               |         70 |          0 |          1 |         71 |
| /home/tbn/pessoa/backend/.sqlx/query-72486920161fe03541a29e67953ea0349489057e4bc887746dd0582c85fc6f27.json       | JSON               |         58 |          0 |          1 |         59 |
| /home/tbn/pessoa/backend/.sqlx/query-734fcf01495d017e3b0b3c6a045dd154d12e4badf227b57ac000184dc859239c.json       | JSON               |         57 |          0 |          1 |         58 |
| /home/tbn/pessoa/backend/.sqlx/query-736799aae1d3a2c182eff67a4b9ff6bdd8fcb669fa8b298ea5ee3daeea0f4b3f.json       | JSON               |         15 |          0 |          1 |         16 |
| /home/tbn/pessoa/backend/.sqlx/query-783f16def566d994dffbfa028dfb27f500b4168317351106a3da38ec127b2b0d.json       | JSON               |         15 |          0 |          1 |         16 |
| /home/tbn/pessoa/backend/.sqlx/query-7e2dca3e9ad54924a25a20e6777369b90edc564bbc711dc3e6f2115dd9e3f428.json       | JSON               |         19 |          0 |          1 |         20 |
| /home/tbn/pessoa/backend/.sqlx/query-91e2e7d73d8340fab498316ea51b1603128359c69b8c6743faf614519e3f2504.json       | JSON               |         52 |          0 |          1 |         53 |
| /home/tbn/pessoa/backend/.sqlx/query-a464e88495b538255db9c30adbeb51ae416b0dbd1edefd8852258d8708b6bebc.json       | JSON               |         15 |          0 |          1 |         16 |
| /home/tbn/pessoa/backend/.sqlx/query-af56253c829c5e43f0c2ecd9de035665bdb2224889dd14fc16df56798572d81f.json       | JSON               |         52 |          0 |          1 |         53 |
| /home/tbn/pessoa/backend/.sqlx/query-bc741ef166e44c3210d0e1a6c5ddac67aefadc288bcb7ef45392d729a3060947.json       | JSON               |         22 |          0 |          1 |         23 |
| /home/tbn/pessoa/backend/.sqlx/query-c1c4e0f25d08fcdbbbe903c4441602f942e7739b3a3ee2b39e0f78575d715ef5.json       | JSON               |         50 |          0 |          1 |         51 |
| /home/tbn/pessoa/backend/.sqlx/query-cc546479b0f8249accc77e03c4fcde03cc0f31f2798c6c0596f96aab3f46df61.json       | JSON               |         53 |          0 |          1 |         54 |
| /home/tbn/pessoa/backend/.sqlx/query-dd9a696ede9817fb92c56ff7aa3a810fa4013081ebb65c09157efca8524021ec.json       | JSON               |         75 |          0 |          1 |         76 |
| /home/tbn/pessoa/backend/.sqlx/query-de6cca410c6df0055f69bfd6fac3467416337a2fa7ef08e20db6d16635e5d976.json       | JSON               |         50 |          0 |          1 |         51 |
| /home/tbn/pessoa/backend/.sqlx/query-e5351f3db9d0894f44e978b475b0c06c56ce05ae6fe1e94cf6d940938d8d5edd.json       | JSON               |         41 |          0 |          1 |         42 |
| /home/tbn/pessoa/backend/.sqlx/query-fc06402a72d3506fff73f75fdd3405c2c905e8cc9b87ff4f9b97174019f8e685.json       | JSON               |         46 |          0 |          1 |         47 |
| /home/tbn/pessoa/backend/Dockerfile                                                                              | Docker             |         67 |         34 |         23 |        124 |
| /home/tbn/pessoa/backend/migrations/0001_create_tables.sql                                                       | MS SQL             |         34 |          6 |          5 |         45 |
| /home/tbn/pessoa/backend/migrations/20250101000001_add_username_role_to_users.sql                                | MS SQL             |          2 |          7 |          3 |         12 |
| /home/tbn/pessoa/backend/migrations/20250117000000_add_script_sharing.sql                                        | MS SQL             |         13 |          3 |          2 |         18 |
| /home/tbn/pessoa/backend/migrations/20250118000000_add_thumbnail_to_scripts.sql                                  | MS SQL             |          2 |          2 |          1 |          5 |
| /home/tbn/pessoa/backend/migrations/20250128000000_create_script_layouts_table.sql                               | MS SQL             |         46 |          3 |          2 |         51 |
| /home/tbn/pessoa/backend/migrations/20250503174857_make_blocks_script_id_not_null.sql                            | MS SQL             |          2 |          3 |          3 |          8 |
| /home/tbn/pessoa/backend/migrations/20250506002947_add_dev_user.sql                                              | MS SQL             |          8 |          2 |          1 |         11 |
| /home/tbn/pessoa/backend/migrations/20250507000000_create_yjs_document_updates_table.sql                         | MS SQL             |          8 |          1 |          1 |         10 |
| /home/tbn/pessoa/backend/migrations/20250507000001_create_script_snapshots_meta_table.sql                        | MS SQL             |          5 |          1 |          0 |          6 |
| /home/tbn/pessoa/backend/migrations/20250514160000_add_block_order_to_blocks.sql                                 | MS SQL             |          2 |          8 |          0 |         10 |
| /home/tbn/pessoa/backend/migrations/20250514160500_add_metadata_to_blocks.sql                                    | MS SQL             |          2 |          1 |          0 |          3 |
| /home/tbn/pessoa/backend/migrations/20250514161500_add_user_id_to_yjs_document_updates.sql                       | MS SQL             |          3 |          5 |          1 |          9 |
| /home/tbn/pessoa/backend/scripts/hash_password.rs                                                                | Rust               |         23 |          1 |          3 |         27 |
| /home/tbn/pessoa/backend/src/analysis/errors.rs                                                                  | Rust               |         10 |          1 |          1 |         12 |
| /home/tbn/pessoa/backend/src/analysis/mod.rs                                                                     | Rust               |          3 |          5 |          1 |          9 |
| /home/tbn/pessoa/backend/src/analysis/parser.rs                                                                  | Rust               |         23 |         64 |          6 |         93 |
| /home/tbn/pessoa/backend/src/analysis/structs.rs                                                                 | Rust               |         83 |         19 |         17 |        119 |
| /home/tbn/pessoa/backend/src/api/auth.rs                                                                         | Rust               |         40 |          1 |          6 |         47 |
| /home/tbn/pessoa/backend/src/api/mod.rs                                                                          | Rust               |          3 |          4 |          1 |          8 |
| /home/tbn/pessoa/backend/src/api/scripts.rs                                                                      | Rust               |         83 |          0 |          8 |         91 |
| /home/tbn/pessoa/backend/src/api/ws.rs                                                                           | Rust               |        108 |          3 |         14 |        125 |
| /home/tbn/pessoa/backend/src/async_db_writer.rs                                                                  | Rust               |         44 |          3 |          4 |         51 |
| /home/tbn/pessoa/backend/src/auth.rs                                                                             | Rust               |        237 |        119 |         45 |        401 |
| /home/tbn/pessoa/backend/src/error.rs                                                                            | Rust               |        130 |         23 |         12 |        165 |
| /home/tbn/pessoa/backend/src/gemini_api.rs                                                                       | Rust               |        276 |         47 |         39 |        362 |
| /home/tbn/pessoa/backend/src/handlers/mod.rs                                                                     | Rust               |          1 |          4 |          1 |          6 |
| /home/tbn/pessoa/backend/src/handlers/script_handlers.rs                                                         | Rust               |        281 |        119 |         44 |        444 |
| /home/tbn/pessoa/backend/src/lib.rs                                                                              | Rust               |        486 |        218 |         77 |        781 |
| /home/tbn/pessoa/backend/src/lib_test.rs                                                                         | Rust               |          8 |          1 |          1 |         10 |
| /home/tbn/pessoa/backend/src/main.rs                                                                             | Rust               |        405 |        173 |         66 |        644 |
| /home/tbn/pessoa/backend/src/models/block.rs                                                                     | Rust               |         13 |         10 |          1 |         24 |
| /home/tbn/pessoa/backend/src/models/edit.rs                                                                      | Rust               |         12 |          9 |          1 |         22 |
| /home/tbn/pessoa/backend/src/models/mod.rs                                                                       | Rust               |          8 |          4 |          0 |         12 |
| /home/tbn/pessoa/backend/src/models/script.rs                                                                    | Rust               |         14 |         10 |          1 |         25 |
| /home/tbn/pessoa/backend/src/models/script_layout.rs                                                             | Rust               |         31 |         16 |          3 |         50 |
| /home/tbn/pessoa/backend/src/models/script_share.rs                                                              | Rust               |         32 |         14 |          4 |         50 |
| /home/tbn/pessoa/backend/src/models/snapshot_meta.rs                                                             | Rust               |         10 |          0 |          1 |         11 |
| /home/tbn/pessoa/backend/src/models/user.rs                                                                      | Rust               |         13 |         10 |          1 |         24 |
| /home/tbn/pessoa/backend/src/models/yjs_update.rs                                                                | Rust               |         12 |          0 |          1 |         13 |
| /home/tbn/pessoa/backend/src/persistence_event.rs                                                                | Rust               |          9 |          1 |          1 |         11 |
| /home/tbn/pessoa/backend/src/script.rs                                                                           | Rust               |         18 |         11 |          0 |         29 |
| /home/tbn/pessoa/backend/src/snapshotting_service.rs                                                             | Rust               |        570 |         27 |         63 |        660 |
| /home/tbn/pessoa/backend/src/test_yjs.rs                                                                         | Rust               |         28 |          5 |          6 |         39 |
| /home/tbn/pessoa/backend/src/tests/auth.rs                                                                       | Rust               |        129 |         10 |         12 |        151 |
| /home/tbn/pessoa/backend/src/tests/block.rs                                                                      | Rust               |         91 |          7 |          3 |        101 |
| /home/tbn/pessoa/backend/src/tests/common.rs                                                                     | Rust               |         35 |          0 |          5 |         40 |
| /home/tbn/pessoa/backend/src/tests/scripts.rs                                                                    | Rust               |         87 |          7 |          3 |         97 |
| /home/tbn/pessoa/backend/src/tests/user.rs                                                                       | Rust               |        117 |         11 |         13 |        141 |
| /home/tbn/pessoa/backend/src/tests/ws.rs                                                                         | Rust               |         40 |          5 |          2 |         47 |
| /home/tbn/pessoa/backend/src/thumbnail.rs                                                                        | Rust               |        191 |         19 |         23 |        233 |
| /home/tbn/pessoa/backend/src/ws.rs                                                                               | Rust               |        203 |         47 |         41 |        291 |
| /home/tbn/pessoa/backend/tests/auth.rs                                                                           | Rust               |         64 |          5 |          1 |         70 |
| /home/tbn/pessoa/backend/tests/block.rs                                                                          | Rust               |         62 |          5 |          5 |         72 |
| /home/tbn/pessoa/backend/tests/edit.rs                                                                           | Rust               |         72 |          6 |          5 |         83 |
| /home/tbn/pessoa/backend/tests/gemini_api_integration.rs                                                         | Rust               |         86 |         23 |         18 |        127 |
| /home/tbn/pessoa/backend/tests/mocks/mod.rs                                                                      | Rust               |         39 |          0 |          4 |         43 |
| /home/tbn/pessoa/backend/tests/scripts.rs                                                                        | Rust               |         50 |          4 |          4 |         58 |
| /home/tbn/pessoa/backend/tests/user.rs                                                                           | Rust               |         53 |          5 |          1 |         59 |
| /home/tbn/pessoa/backend/tests/ws.rs                                                                             | Rust               |         50 |          8 |         17 |         75 |
| /home/tbn/pessoa/dev_startup.log                                                                                 | Log                |         24 |          0 |          1 |         25 |
| /home/tbn/pessoa/doc-improvements/code_errors_20240628.md                                                        | Markdown           |         55 |          0 |         18 |         73 |
| /home/tbn/pessoa/doc/ADVANCED_README.md                                                                          | Markdown           |        282 |          0 |         65 |        347 |
| /home/tbn/pessoa/doc/AUDIO_TRANSCRIPTION_FEATURE.md                                                              | Markdown           |         82 |          0 |         27 |        109 |
| /home/tbn/pessoa/doc/Build_rule.md                                                                               | Markdown           |        107 |          0 |         20 |        127 |
| /home/tbn/pessoa/doc/DEPLOYMENT.md                                                                               | Markdown           |         45 |          0 |         15 |         60 |
| /home/tbn/pessoa/doc/Grund_Idee.md                                                                               | Markdown           |         13 |          0 |         12 |         25 |
| /home/tbn/pessoa/doc/Revie_rule.md                                                                               | Markdown           |         36 |          0 |          4 |         40 |
| /home/tbn/pessoa/doc/YJS_PERSISTENCE_STRATEGY.md                                                                 | Markdown           |        192 |          0 |         43 |        235 |
| /home/tbn/pessoa/doc/branch_change.md                                                                            | Markdown           |         58 |          0 |         22 |         80 |
| /home/tbn/pessoa/doc/chat.md                                                                                     | Markdown           |        790 |          0 |        267 |      1,057 |
| /home/tbn/pessoa/doc/chatlogs.md                                                                                 | Markdown           |        397 |          0 |          1 |        398 |
| /home/tbn/pessoa/doc/cleanup.md                                                                                  | Markdown           |        105 |          0 |         44 |        149 |
| /home/tbn/pessoa/doc/cleanup_plan.md                                                                             | Markdown           |         25 |          0 |          5 |         30 |
| /home/tbn/pessoa/doc/new_rule.md                                                                                 | Markdown           |         23 |          0 |          6 |         29 |
| /home/tbn/pessoa/doc/now.md                                                                                      | Markdown           |          1 |          0 |          2 |          3 |
| /home/tbn/pessoa/doc/persistence_improvements.md                                                                 | Markdown           |         97 |          0 |         35 |        132 |
| /home/tbn/pessoa/doc/prototype_checklist.md                                                                      | Markdown           |         47 |          0 |          6 |         53 |
| /home/tbn/pessoa/doc/session_summary_persistence_investigation.md                                                | Markdown           |         60 |          0 |         21 |         81 |
| /home/tbn/pessoa/doc/troubleshooting.md                                                                          | Markdown           |         18 |          0 |         10 |         28 |
| /home/tbn/pessoa/docker-compose.hetzner-github-actions.yml                                                       | YAML               |         80 |          9 |          6 |         95 |
| /home/tbn/pessoa/docker-compose.https.yml                                                                        | YAML               |         87 |          7 |          5 |         99 |
| /home/tbn/pessoa/docker-compose.prod.yml                                                                         | YAML               |         87 |          3 |          6 |         96 |
| /home/tbn/pessoa/docker-compose.staging.yml                                                                      | YAML               |         87 |          3 |          6 |         96 |
| /home/tbn/pessoa/docker-compose.yml                                                                              | YAML               |         84 |          6 |          5 |         95 |
| /home/tbn/pessoa/env.exact.copy copy.md                                                                          | Markdown           |         94 |          0 |         12 |        106 |
| /home/tbn/pessoa/env_Local.md                                                                                    | Markdown           |         38 |          0 |          7 |         45 |
| /home/tbn/pessoa/frontend/.dockerignore                                                                          | Ignore             |          6 |          5 |          4 |         15 |
| /home/tbn/pessoa/frontend/Dockerfile                                                                             | Docker             |         18 |         11 |         11 |         40 |
| /home/tbn/pessoa/frontend/README.md                                                                              | Markdown           |         45 |          0 |         10 |         55 |
| /home/tbn/pessoa/frontend/eslint.config.js                                                                       | JavaScript         |         27 |          0 |          2 |         29 |
| /home/tbn/pessoa/frontend/index.html                                                                             | HTML               |         17 |          0 |          1 |         18 |
| /home/tbn/pessoa/frontend/jest.config.cjs                                                                        | JavaScript         |         15 |          0 |          0 |         15 |
| /home/tbn/pessoa/frontend/junit.xml                                                                              | XML                |          3 |          0 |          0 |          3 |
| /home/tbn/pessoa/frontend/migrations/20250628204208_add_sharing_to_scripts.sql                                   | MS SQL             |          0 |          1 |          1 |          2 |
| /home/tbn/pessoa/frontend/nginx-https-multi-domain.conf                                                          | Properties         |        125 |         18 |         23 |        166 |
| /home/tbn/pessoa/frontend/nginx-https.conf                                                                       | Properties         |         65 |         11 |          9 |         85 |
| /home/tbn/pessoa/frontend/nginx.conf                                                                             | Properties         |         43 |         13 |          6 |         62 |
| /home/tbn/pessoa/frontend/package-lock.json                                                                      | JSON               |     10,090 |          0 |          1 |     10,091 |
| /home/tbn/pessoa/frontend/package.json                                                                           | JSON               |         58 |          0 |          1 |         59 |
| /home/tbn/pessoa/frontend/public/microphone_test.html                                                            | HTML               |        434 |          5 |         83 |        522 |
| /home/tbn/pessoa/frontend/public/vite.svg                                                                        | XML                |          1 |          0 |          0 |          1 |
| /home/tbn/pessoa/frontend/src/App.css                                                                            | CSS                |         60 |          1 |          9 |         70 |
| /home/tbn/pessoa/frontend/src/App.tsx                                                                            | TypeScript JSX     |        161 |         48 |         23 |        232 |
| /home/tbn/pessoa/frontend/src/AuthContext.tsx                                                                    | TypeScript JSX     |        116 |         53 |         22 |        191 |
